"id","codigo","opc","categoria","sub_categoria","descricao","restrito_sexo","campos_rad","estadio","repete_rad"
82,"A161",,"N","S","A16.1 Tuberc pulmonar s/exame bacter ou histolog","5","000","N","N"
83,"A162",,"N","S","A16.2 Tuberc pulmonar s/menc conf bact ou hist","5","000","N","N"
84,"A163",,"N","S","A16.3 Tuberc gangl intrat s/menc conf bact hist","5","000","N","N"
85,"A164",,"N","S","A16.4 Tuberc laring traq bronq s/menc bact hist","5","000","N","N"
86,"A165",,"N","S","A16.5 Pleurisia tuberc s/menc conf bact ou histol","5","000","N","N"
87,"A167",,"N","S","A16.7 Tuberc respir prim s/menc conf bact ou hist","5","000","N","N"
88,"A168",,"N","S","A16.8 Outr tuber via resp s/menc conf bact hist","5","000","N","N"
89,"A169",,"N","S","A16.9 Tuberc respirat NE s/menc conf bact ou hist","5","000","N","N"
90,"A17","+","S","N","A17   Tuberc do sist nervoso","5","000","N","N"
91,"A170","+","N","S","A17.0 Meningite tuberc","5","000","N","N"
92,"A171","+","N","S","A17.1 Tuberculoma meningeo","5","000","N","N"
93,"A178","+","N","S","A17.8 Outr tuberc do sist nervoso","5","000","N","N"
94,"A179","+","N","S","A17.9 Tuberc NE do sist nervoso","5","000","N","N"
95,"A18",,"S","N","A18   Tuberc de outr orgaos","5","000","N","N"
96,"A180","+","N","S","A18.0 Tuberc ossea e das articulacoes","5","000","N","N"
97,"A181",,"N","S","A18.1 Tuberc do aparelho geniturinario","5","000","N","N"
98,"A182",,"N","S","A18.2 Linfadenopatia tuberc periferica","5","000","N","N"
99,"A183",,"N","S","A18.3 Tuberc intestino peritonio gangl mesenter","5","000","N","N"
100,"A184",,"N","S","A18.4 Tuberc de pele e tec celular subcutaneo","5","000","N","N"
101,"A185","+","N","S","A18.5 Tuberc do olho","5","000","N","N"
102,"A186","+","N","S","A18.6 Tuberc do ouvido","5","000","N","N"
103,"A187","+","N","S","A18.7 Tuberc das supra-renais","5","000","N","N"
104,"A188","+","N","S","A18.8 Tuberc de outr orgaos espec","5","000","N","N"
105,"A19",,"S","N","A19   Tuberc miliar","5","000","N","N"
106,"A190",,"N","S","A19.0 Tuberc miliar aguda de localiz unica espec","5","000","N","N"
107,"A191",,"N","S","A19.1 Tuberc miliar aguda de mult localiz","5","000","N","N"
108,"A192",,"N","S","A19.2 Tuberc miliar aguda NE","5","000","N","N"
109,"A198",,"N","S","A19.8 Outr tuberc miliares","5","000","N","N"
110,"A199",,"N","S","A19.9 Tuberc miliar NE","5","000","N","N"
111,"A20",,"S","N","A20   Peste","5","000","N","N"
112,"A200",,"N","S","A20.0 Peste bubonica","5","000","N","N"
113,"A201",,"N","S","A20.1 Peste celulocutanea","5","000","N","N"
114,"A202",,"N","S","A20.2 Peste pneumonica","5","000","N","N"
115,"A203",,"N","S","A20.3 Peste meningea","5","000","N","N"
116,"A207",,"N","S","A20.7 Peste septicemica","5","000","N","N"
117,"A208",,"N","S","A20.8 Outr form de peste","5","000","N","N"
118,"A209",,"N","S","A20.9 Peste form NE","5","000","N","N"
119,"A21",,"S","N","A21   Tularemia","5","000","N","N"
120,"A210",,"N","S","A21.0 Tularemia ulceroglandular","5","000","N","N"
121,"A211",,"N","S","A21.1 Tularemia oculoglandular","5","000","N","N"
122,"A212",,"N","S","A21.2 Tularemia pulmonar","5","000","N","N"
123,"A213",,"N","S","A21.3 Tularemia gastrointestinal","5","000","N","N"
124,"A217",,"N","S","A21.7 Tularemia generalizada","5","000","N","N"
125,"A218",,"N","S","A21.8 Outr form de tularemia","5","000","N","N"
126,"A219",,"N","S","A21.9 Tularemia form NE","5","000","N","N"
127,"A22",,"S","N","A22   Carbunculo","5","000","N","N"
128,"A220",,"N","S","A22.0 Carbunculo cutaneo","5","000","N","N"
129,"A221",,"N","S","A22.1 Carbunculo pulmonar","5","000","N","N"
130,"A222",,"N","S","A22.2 Carbunculo gastrointestinal","5","000","N","N"
131,"A227",,"N","S","A22.7 Septicemia carbunculosa","5","000","N","N"
132,"A228",,"N","S","A22.8 Outr form de carbunculo","5","000","N","N"
133,"A229",,"N","S","A22.9 Carbunculo form NE","5","000","N","N"
134,"A23",,"S","N","A23   Brucelose","5","000","N","N"
135,"A230",,"N","S","A23.0 Brucelose p/Brucella melitensis","5","000","N","N"
136,"A231",,"N","S","A23.1 Brucelose p/Brucella abortus","5","000","N","N"
137,"A232",,"N","S","A23.2 Brucelose p/Brucella suis","5","000","N","N"
138,"A233",,"N","S","A23.3 Brucelose p/Brucella canis","5","000","N","N"
139,"A238",,"N","S","A23.8 Outr bruceloses","5","000","N","N"
140,"A239",,"N","S","A23.9 Brucelose NE","5","000","N","N"
141,"A24",,"S","N","A24   Mormo e melioidose","5","000","N","N"
142,"A240",,"N","S","A24.0 Mormo","5","000","N","N"
143,"A241",,"N","S","A24.1 Melioidose aguda e fulminante","5","000","N","N"
144,"A242",,"N","S","A24.2 Melioidose subaguda e cronica","5","000","N","N"
145,"A243",,"N","S","A24.3 Outr melioidoses","5","000","N","N"
146,"A244",,"N","S","A24.4 Melioidose NE","5","000","N","N"
147,"A25",,"S","N","A25   Febres transm p/mordedura de rato","5","000","N","N"
148,"A250",,"N","S","A25.0 Espirilose","5","000","N","N"
149,"A251",,"N","S","A25.1 Estreptobacilose","5","000","N","N"
150,"A259",,"N","S","A25.9 Febre transm p/mordedura de rato tipo NE","5","000","N","N"
151,"A26",,"S","N","A26   Erisipeloide","5","000","N","N"
152,"A260",,"N","S","A26.0 Erisipeloide cutaneo","5","000","N","N"
153,"A267",,"N","S","A26.7 Septicemia p/Erysipelothrix","5","000","N","N"
154,"A268",,"N","S","A26.8 Outr form de erisipeloide","5","000","N","N"
155,"A269",,"N","S","A26.9 Erisipeloide NE","5","000","N","N"
156,"A27",,"S","N","A27   Leptospirose","5","000","N","N"
157,"A270",,"N","S","A27.0 Leptopirose icterohemorragica","5","000","N","N"
158,"A278",,"N","S","A27.8 Outr form de leptospirose","5","000","N","N"
159,"A279",,"N","S","A27.9 Leptospirose NE","5","000","N","N"
160,"A28",,"S","N","A28   Outr doenc bacter zoonoticas NCOP","5","000","N","N"
161,"A280",,"N","S","A28.0 Pasteurelose","5","000","N","N"
162,"A281",,"N","S","A28.1 Doenc p/arranhadura do gato","5","000","N","N"
163,"A282",,"N","S","A28.2 Yersiniose extra-intestinal","5","000","N","N"
164,"A288",,"N","S","A28.8 Outr doenc bacter zoonoticas espec NCOP","5","000","N","N"
165,"A289",,"N","S","A28.9 Doenc bacter zoonotica NE","5","000","N","N"
166,"A30",,"S","N","A30   Hanseniase","5","000","N","N"
167,"A300",,"N","S","A30.0 Hanseniase indeterminada","5","000","N","N"
168,"A301",,"N","S","A30.1 Hanseniase tuberculoide","5","000","N","N"
169,"A302",,"N","S","A30.2 Hanseniase tuberculoide borderline","5","000","N","N"
170,"A303",,"N","S","A30.3 Hanseniase dimorfa","5","000","N","N"
171,"A304",,"N","S","A30.4 Hanseniase lepromatosa borderline","5","000","N","N"
172,"A305",,"N","S","A30.5 Hanseniase lepromatosa","5","000","N","N"
173,"A308",,"N","S","A30.8 Outr form de hanseniase","5","000","N","N"
174,"A309",,"N","S","A30.9 Hanseniase NE","5","000","N","N"
175,"A31",,"S","N","A31   Infecc dev outr micobacterias","5","000","N","N"
176,"A310",,"N","S","A31.0 Infecc pulmonar micobacteriana","5","000","N","N"
177,"A311",,"N","S","A31.1 Infecc cutanea micobacteriana","5","000","N","N"
178,"A318",,"N","S","A31.8 Outr infecc micobacterianas","5","000","N","N"
179,"A319",,"N","S","A31.9 Infecc micobacteriana NE","5","000","N","N"
180,"A32",,"S","N","A32   Listeriose","5","000","N","N"
181,"A320",,"N","S","A32.0 Listeriose cutanea","5","000","N","N"
182,"A321","+","N","S","A32.1 Meningite e meningoencefalite p/listeria","5","000","N","N"
183,"A327",,"N","S","A32.7 Septicemia listeriotica","5","000","N","N"
184,"A328",,"N","S","A32.8 Outr form de listeriose","5","000","N","N"
185,"A329",,"N","S","A32.9 Listeriose NE","5","000","N","N"
186,"A33",,"S","S","A33   Tetano do recem-nascido","5","000","N","N"
187,"A34",,"S","S","A34   Tetano obstetrico","3","000","N","N"
188,"A35",,"S","S","A35   Outr tipos de tetano","5","000","N","N"
189,"A36",,"S","N","A36   Difteria","5","000","N","N"
190,"A360",,"N","S","A36.0 Difteria faringea","5","000","N","N"
191,"A361",,"N","S","A36.1 Difteria nasofaringea","5","000","N","N"
192,"A362",,"N","S","A36.2 Difteria laringea","5","000","N","N"
193,"A363",,"N","S","A36.3 Difteria cutanea","5","000","N","N"
194,"A368",,"N","S","A36.8 Outr form de difteria","5","000","N","N"
195,"A369",,"N","S","A36.9 Difteria NE","5","000","N","N"
196,"A37",,"S","N","A37   Coqueluche","5","000","N","N"
197,"A370",,"N","S","A37.0 Coqueluche p/Bordetella pertussis","5","000","N","N"
198,"A371",,"N","S","A37.1 Coqueluche p/Bordetella parapertussis","5","000","N","N"
199,"A378",,"N","S","A37.8 Coqueluche p/outr especies da Bordetella","5","000","N","N"
200,"A379",,"N","S","A37.9 Coqueluche NE","5","000","N","N"
201,"A38",,"S","S","A38   Escarlatina","5","000","N","N"
202,"A39",,"S","N","A39   Infecc meningogocica","5","000","N","N"
203,"A390","+","N","S","A39.0 Meningite meningococica","5","000","N","N"
204,"A391","+","N","S","A39.1 Sindr de Waterhouse-Friderichsen","5","000","N","N"
205,"A392",,"N","S","A39.2 Meningococcemia aguda","5","000","N","N"
206,"A393",,"N","S","A39.3 Meningococcemia cronica","5","000","N","N"
207,"A394",,"N","S","A39.4 Meningococcemia NE","5","000","N","N"
208,"A395","+","N","S","A39.5 Cardite p/meningococos","5","000","N","N"
209,"A398",,"N","S","A39.8 Outr infecc p/meningococos","5","000","N","N"
210,"A399",,"N","S","A39.9 Infecc meningococica NE","5","000","N","N"
211,"A40",,"S","N","A40   Septicemia estreptococica","5","000","N","N"
212,"A400",,"N","S","A40.0 Septicemia p/Streptococcus do grupo A","5","000","N","N"
213,"A401",,"N","S","A40.1 Septicemia p/Streptococcus do grupo B","5","000","N","N"
214,"A402",,"N","S","A40.2 Septicemia p/Streptococcus do grupo D","5","000","N","N"
215,"A403",,"N","S","A40.3 Septicemia p/Streptococcus pneumonia","5","000","N","N"
216,"A408",,"N","S","A40.8 Outr septicemias estreptococicas","5","000","N","N"
217,"A409",,"N","S","A40.9 Septicemia estreptococica NE","5","000","N","N"
218,"A41",,"S","N","A41   Outr septicemias","5","000","N","N"
219,"A410",,"N","S","A41.0 Septicemia p/Staphylococcus aureus","5","000","N","N"
220,"A411",,"N","S","A41.1 Septicemia p/outr estafilococos espec","5","000","N","N"
221,"A412",,"N","S","A41.2 Septicemia p/estafilococos NE","5","000","N","N"
222,"A413",,"N","S","A41.3 Septicemia p/Haemophilus influenzae","5","000","N","N"
223,"A414",,"N","S","A41.4 Septicemia p/anaerobios","5","000","N","N"
224,"A415",,"N","S","A41.5 Septicemia p/outr microorg gram-negativos","5","000","N","N"
225,"A418",,"N","S","A41.8 Outr septicemias espec","5","000","N","N"
226,"A419",,"N","S","A41.9 Septicemia NE","5","000","N","N"
227,"A42",,"S","N","A42   Actinomicose","5","000","N","N"
228,"A420",,"N","S","A42.0 Actinomicose pulmonar","5","000","N","N"
229,"A421",,"N","S","A42.1 Actinomicose abdominal","5","000","N","N"
230,"A422",,"N","S","A42.2 Actinomicose cervicofacial","5","000","N","N"
231,"A427",,"N","S","A42.7 Septicemia actinomicotica","5","000","N","N"
232,"A428",,"N","S","A42.8 Outr form de actinomicose","5","000","N","N"
233,"A429",,"N","S","A42.9 Actinomicose NE","5","000","N","N"
234,"A43",,"S","N","A43   Nocardiose","5","000","N","N"
235,"A430",,"N","S","A43.0 Nocardiose pulmonar","5","000","N","N"
236,"A431",,"N","S","A43.1 Nocardiose cutanea","5","000","N","N"
237,"A438",,"N","S","A43.8 Outr form de nocardiose","5","000","N","N"
238,"A439",,"N","S","A43.9 Nocardiose NE","5","000","N","N"
239,"A44",,"S","N","A44   Bartonelose","5","000","N","N"
240,"A440",,"N","S","A44.0 Bartonelose sistemica","5","000","N","N"
241,"A441",,"N","S","A44.1 Bartonelose cutanea e cutaneo-mucosa","5","000","N","N"
242,"A448",,"N","S","A44.8 Outr form de bartonelose","5","000","N","N"
243,"A449",,"N","S","A44.9 Bartonelose NE","5","000","N","N"
244,"A46",,"S","S","A46   Erisipela","5","000","N","N"
245,"A48",,"S","N","A48   Outr doenc bacter NCOP","5","000","N","N"
246,"A480",,"N","S","A48.0 Gangrena gasosa","5","000","N","N"
247,"A481",,"N","S","A48.1 Doenc dos legionarios","5","000","N","N"
248,"A482",,"N","S","A48.2 Doenc dos legionarios nao-pneumonica","5","000","N","N"
249,"A483",,"N","S","A48.3 Sindr do choque toxico","5","000","N","N"
250,"A484",,"N","S","A48.4 Febre purpurica do Brasil","5","000","N","N"
251,"A488",,"N","S","A48.8 Outr doenc bacter espec","5","000","N","N"
252,"A49",,"S","N","A49   Infecc bacter de local NE","5","000","N","N"
253,"A490",,"N","S","A49.0 Infecc estafilococica NE","5","000","N","N"
254,"A491",,"N","S","A49.1 Infecc estreptococica NE","5","000","N","N"
255,"A492",,"N","S","A49.2 Infecc p/Haemophilus influenzae NE","5","000","N","N"
256,"A493",,"N","S","A49.3 Infecc p/Mycoplasma NE","5","000","N","N"
257,"A498",,"N","S","A49.8 Outr infecc bacter de localiz NE","5","000","N","N"
258,"A499",,"N","S","A49.9 Infecc bacter NE","5","000","N","N"
259,"A50",,"S","N","A50   Sifilis congen","5","000","N","N"
260,"A500",,"N","S","A50.0 Sifilis congen precoce sintomatica","5","000","N","N"
261,"A501",,"N","S","A50.1 Sifilis congen precoce form latente","5","000","N","N"
262,"A502",,"N","S","A50.2 Sifilis congen precoce NE","5","000","N","N"
263,"A503",,"N","S","A50.3 Oculopatia sifilitica congen tard","5","000","N","N"
264,"A504",,"N","S","A50.4 Neurossifilis congen tard","5","000","N","N"
265,"A505",,"N","S","A50.5 Outr form tard e sintomat sifilis congen","5","000","N","N"
266,"A506",,"N","S","A50.6 Sifilis congen tard latente","5","000","N","N"
267,"A507",,"N","S","A50.7 Sifilis congen tard NE","5","000","N","N"
268,"A509",,"N","S","A50.9 Sifilis congen NE","5","000","N","N"
269,"A51",,"S","N","A51   Sifilis precoce","5","000","N","N"
270,"A510",,"N","S","A51.0 Sifilis genital prim","5","000","N","N"
271,"A511",,"N","S","A51.1 Sifilis anal prim","5","000","N","N"
272,"A512",,"N","S","A51.2 Sifilis prim de outr localiz","5","000","N","N"
273,"A513",,"N","S","A51.3 Sifilis secund da pele e das mucosas","5","000","N","N"
274,"A514",,"N","S","A51.4 Outr form de sifilis secund","5","000","N","N"
275,"A515",,"N","S","A51.5 Sifilis precoce latente","5","000","N","N"
276,"A519",,"N","S","A51.9 Sifilis precoce NE","5","000","N","N"
277,"A52",,"S","N","A52   Sifilis tard","5","000","N","N"
278,"A520","+","N","S","A52.0 Sifilis cardiovascular","5","000","N","N"
279,"A521",,"N","S","A52.1 Neurossifilis sintomatica","5","000","N","N"
280,"A522",,"N","S","A52.2 Neurossifilis assintomatica","5","000","N","N"
281,"A523",,"N","S","A52.3 Neurossifilis NE","5","000","N","N"
282,"A527",,"N","S","A52.7 Outr form de sifilis tard sintomatica","5","000","N","N"
283,"A528",,"N","S","A52.8 Sifilis tard latente","5","000","N","N"
284,"A529",,"N","S","A52.9 Sifilis tard NE","5","000","N","N"
285,"A53",,"S","N","A53   Outr form e as NE da sifilis","5","000","N","N"
286,"A530",,"N","S","A53.0 Sifilis latente NE se recente ou tard","5","000","N","N"
287,"A539",,"N","S","A53.9 Sifilis NE","5","000","N","N"
288,"A54",,"S","N","A54   Infecc gonococica","5","000","N","N"
289,"A540",,"N","S","A54.0 Inf gon tr genit inf s/abs periur/gland aces","5","000","N","N"
290,"A541",,"N","S","A54.1 Inf gon tr genit inf c/abs periur/gland aces","5","000","N","N"
291,"A542","+","N","S","A54.2 Pelviperit gonoc e outr infecc genitur gonoc","5","000","N","N"
292,"A543",,"N","S","A54.3 Infecc gonococica do olho","5","000","N","N"
293,"A544","+","N","S","A54.4 Infecc gonococica sist musculo-esqueletico","5","000","N","N"
294,"A545",,"N","S","A54.5 Faringite gonococica","5","000","N","N"
295,"A546",,"N","S","A54.6 Infecc gonococica do anus ou do reto","5","000","N","N"
296,"A548",,"N","S","A54.8 Outr infecc gonococicas","5","000","N","N"
297,"A549",,"N","S","A54.9 Infecc gonococica NE","5","000","N","N"
298,"A55",,"S","S","A55   Linfogranuloma p/clamidia","5","000","N","N"
299,"A56",,"S","N","A56   Outr infecc p/clamidias transm p/via sexual","5","000","N","N"
300,"A560",,"N","S","A56.0 Infecc p/clamidias trato geniturinario infer","5","000","N","N"
301,"A561","+","N","S","A56.1 Infecc p/clamid pelviper e outr org genitur","5","000","N","N"
302,"A562",,"N","S","A56.2 Infecc p/clamidias trato genitur localiz NE","5","000","N","N"
303,"A563",,"N","S","A56.3 Infecc do anus e do reto p/clamidias","5","000","N","N"
304,"A564",,"N","S","A56.4 Infecc da faringe p/clamidias","5","000","N","N"
305,"A568",,"N","S","A56.8 Infecc p/clamid transm p/via sex outr local","5","000","N","N"
306,"A57",,"S","S","A57   Cancro mole","5","000","N","N"
307,"A58",,"S","S","A58   Granuloma inguinal","5","000","N","N"
308,"A59",,"S","N","A59   Tricomoniase","5","000","N","N"
309,"A590",,"N","S","A59.0 Tricomoniase urogenital","5","000","N","N"
310,"A598",,"N","S","A59.8 Outr localiz de tricomoniase","5","000","N","N"
311,"A599",,"N","S","A59.9 Tricomoniase NE","5","000","N","N"
312,"A60",,"S","N","A60   Infecc anogenitais p/virus do herpes","5","000","N","N"
313,"A600",,"N","S","A60.0 Infecc org genit trat genitur p/virus herpes","5","000","N","N"
314,"A601",,"N","S","A60.1 Infecc margem cutan anus/reto p/virus herpes","5","000","N","N"
315,"A609",,"N","S","A60.9 Infecc anogenital NE p/virus do herpes","5","000","N","N"
316,"A63",,"S","N","A63   Outr doenc de transm predom sexual NCOP","5","000","N","N"
317,"A630",,"N","S","A63.0 Verrugas anogenitais","5","000","N","N"
318,"A638",,"N","S","A63.8 Outr doenc espec de transm predom sexual","5","000","N","N"
319,"A64",,"S","S","A64   Doenc sexualmente transm NE","5","000","N","N"
320,"A65",,"S","S","A65   Sifilis nao-venerea","5","000","N","N"
321,"A66",,"S","N","A66   Bouba","5","000","N","N"
322,"A660",,"N","S","A66.0 Lesoes iniciais da bouba","5","000","N","N"
323,"A661",,"N","S","A66.1 Papilomas mult e bouba plantar umida","5","000","N","N"
324,"A662",,"N","S","A66.2 Outr lesoes cutaneas precoces da bouba","5","000","N","N"
325,"A663",,"N","S","A66.3 Hiperceratose dev bouba","5","000","N","N"
326,"A664",,"N","S","A66.4 Gomas e ulceras dev bouba","5","000","N","N"
327,"A665",,"N","S","A66.5 Gangosa","5","000","N","N"
328,"A666",,"N","S","A66.6 Lesoes osteoarticulares dev bouba","5","000","N","N"
329,"A667",,"N","S","A66.7 Outr manifestacoes da bouba","5","000","N","N"
330,"A668",,"N","S","A66.8 Bouba latente","5","000","N","N"
331,"A669",,"N","S","A66.9 Bouba NE","5","000","N","N"
332,"A67",,"S","N","A67   Pinta","5","000","N","N"
333,"A670",,"N","S","A67.0 Lesoes prim da pinta","5","000","N","N"
334,"A671",,"N","S","A67.1 Lesoes intermediarias da pinta","5","000","N","N"
335,"A672",,"N","S","A67.2 Lesoes tard da pinta","5","000","N","N"
336,"A673",,"N","S","A67.3 Lesoes mistas da pinta","5","000","N","N"
337,"A679",,"N","S","A67.9 Pinta NE","5","000","N","N"
338,"A68",,"S","N","A68   Febres recorrentes","5","000","N","N"
339,"A680",,"N","S","A68.0 Febre recorrente transm p/piolhos","5","000","N","N"
340,"A681",,"N","S","A68.1 Febre recorrente transm p/carrapatos","5","000","N","N"
341,"A689",,"N","S","A68.9 Febre recorrente NE","5","000","N","N"
342,"A69",,"S","N","A69   Outr infecc p/espiroquetas","5","000","N","N"
343,"A690",,"N","S","A69.0 Estomatite ulcerativa necrotizante","5","000","N","N"
344,"A691",,"N","S","A69.1 Outr infecc de Vincent","5","000","N","N"
345,"A692",,"N","S","A69.2 Doenc de Lyme","5","000","N","N"
346,"A698",,"N","S","A69.8 Outr infecc espec p/espiroquetas","5","000","N","N"
347,"A699",,"N","S","A69.9 Infecc p/espiroqueta NE","5","000","N","N"
348,"A70",,"S","S","A70   Infecc causadas p/Clamidia psittaci","5","000","N","N"
349,"A71",,"S","N","A71   Tracoma","5","000","N","N"
350,"A710",,"N","S","A71.0 Fase inicial do tracoma","5","000","N","N"
351,"A711",,"N","S","A71.1 Fase ativa do tracoma","5","000","N","N"
352,"A719",,"N","S","A71.9 Tracoma NE","5","000","N","N"
353,"A74",,"S","N","A74   Outr doenc causadas p/Clamidias","5","000","N","N"
354,"A740","+","N","S","A74.0 Conjuntivite causada p/clamidias","5","000","N","N"
355,"A748",,"N","S","A74.8 Outr doenc causadas p/clamidias","5","000","N","N"
